Category,Tool Name,Nominal Size,OD (Inches),Top Connection,Lower Connection,Length (ft),Weight (lbs),Picture,Verified by,Description
Basic Tools,Roller Bogie,"2.125""",2.125,"15/16"" SR, 1-1/2"" QLS","15/16"" SR, 1-1/2"" QLS",1.6,10,Yes,,Provides rollers to handle high deviations. Contains a swivel for rotational flexibility.
Basic Tools,Roller Bogie,"2.40""",2.4,"1-1/16"" SR, 1-7/8"" HDQRJ","1-1/16"" SR, 1-7/8"" HDQRJ",1.8,11,Yes,,Provides rollers to handle high deviations. Contains a swivel for rotational flexibility.
Basic Tools,Roller Bogie,"2.77""",2.77,"1-1/16"" SR","1-1/16"" SR",1.8,18,Yes,,Provides rollers to handle high deviations. Contains a swivel for rotational flexibility.
Basic Tools,Roller Bogie,"3.85""",3.85,"1-1/16"" SR, 2-1/2"" HDQRJ","1-1/16"" SR, 2-1/2"" HDQRJ",2.1,37,Yes,,Provides rollers to handle high deviations. Contains a swivel for rotational flexibility.
Basic Tools,VariBall,"2-3/8"" Tbg.",1.625,"15/16"" SR","15/16"" SR",1,5,Yes,,Provides rollers to handle high deviations.
Basic Tools,VariBall,"2-7/8"" Tbg.",2,"15/16"" SR","15/16"" SR",1.3,7,Yes,,Provides rollers to handle high deviations.
Basic Tools,VariBall,"3-1/2"" Tbg.",2.75,"1-1/16"" SR","1-1/16"" SR",1.5,9,Yes,,Provides rollers to handle high deviations.
Basic Tools,VariBall,"5-1/2"" Tbg.",3.5,"1-1/16"" SR","1-1/16"" SR",1.5,11,Yes,,Provides rollers to handle high deviations.
Basic Tools,VariBall,"7"" Tbg.",4.25,"1-1/16"" SR","1-1/16"" SR",1.7,13,Yes,,Provides rollers to handle high deviations.
Basic Tools,VariBall,"7"" Tbg.",4.25,"2-1/2"" QLS","2-1/2"" QLS",2.5,15,Yes,,Provides rollers to handle high deviations.
Basic Tools,2' Tungsten Stem,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS","1-1/16"" SR, 1-7/8"" QLS",2,23.8,Yes,,Tungsten stems provide high mass in a short length.
Basic Tools,2' Tungsten Stem,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS","15/16"" SR, 1-1/2"" QLS",2,15.9,Yes,,Tungsten stems provide high mass in a short length.
Basic Tools,2' Tungsten Stem,"1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",2,10.4,Yes,,Tungsten stems provide high mass in a short length.
Basic Tools,2' Tungsten Stem,"2-1/8""",2.125,"2-1/8"" HDQRJ","2-1/8"" HDQRJ",2,31.1,Yes,,Tungsten stems provide high mass in a short length.
Basic Tools,2' Tungsten Stem,"2-1/2""",2.5,"2-1/2"" HDQRJ","2-1/2"" HDQRJ",2,40,Yes,,Tungsten stems provide high mass in a short length.
Basic Tools,3' Tungsten Stem,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS","1-1/16"" SR, 1-7/8"" QLS",3,38.6,Yes,,Tungsten stems provide high mass in a short length.
Basic Tools,3' Tungsten Stem,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS","15/16"" SR, 1-1/2"" QLS",3,23.6,Yes,,Tungsten stems provide high mass in a short length.
Basic Tools,3' Tungsten Stem,"1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",3,16.3,Yes,,Tungsten stems provide high mass in a short length.
Basic Tools,3' Tungsten Stem,"2-1/8""",2.125,"2-1/8"" HDQRJ","2-1/8"" HDQRJ",3,49.4,Yes,,Tungsten stems provide high mass in a short length.
Basic Tools,3' Tungsten Stem,"2-1/2""",2.5,"2-1/2"" HDQRJ","2-1/2"" HDQRJ",3,68.8,Yes,,Tungsten stems provide high mass in a short length.
Basic Tools,5' Tungsten Stem,"1-7/8""",1.875,"1-1/16"" SR, 1-7/8"" QLS","1-1/16"" SR, 1-7/8"" QLS",5,65.3,Yes,,Tungsten stems provide high mass in a short length.
Basic Tools,5' Tungsten Stem,"1-1/2""",1.5,"15/16"" SR, 1-1/2"" QLS","15/16"" SR, 1-1/2"" QLS",5,41.7,Yes,,Tungsten stems provide high mass in a short length.
Basic Tools,5' Tungsten Stem,"1-1/4""",1.25,"15/16"" SR, 1-1/4"" QLS","15/16"" SR, 1-1/4"" QLS",5,28.4,Yes,,Tungsten stems provide high mass in a short length.
Basic Tools,5' Tungsten Stem,"2-1/8""",2.125,"2-1/8"" HDQRJ","2-1/8"" HDQRJ",5,86,Yes,,Tungsten stems provide high mass in a short length.
Basic Tools,5' Tungsten Stem,"2-1/2""",2.5,"2-1/2"" HDQRJ","2-1/2"" HDQRJ",5,120,Yes,,Tungsten stems provide high mass in a short length.
Running and Pulling Tools,SB,"2-1/2""",2.188,"15/16"" SR",,1.3,15,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Down to release.
Running and Pulling Tools,SB,"2""",1.776,"15/16"" SR",,1.3,13,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Down to release.
Running and Pulling Tools,SB,"1-1/2""",1.437,"15/16"" SR",,1.3,11,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Down to release.
Running and Pulling Tools,SB,"3""",2.844,"1-1/16"" SR",,1.3,20,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Down to release.
Running and Pulling Tools,SB,"3.5""",3.115,"1-1/16"" SR",,1.3,25,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Down to release.
Running and Pulling Tools,SB,"4""",3.67,"1-1/16"" SR",,1.3,30,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Down to release.
Running and Pulling Tools,RB,"2-1/2""",2.18,"15/16"" SR",,1.3,15,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Up to release.
Running and Pulling Tools,RB,"2""",1.77,"15/16"" SR",,1.3,13,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Up to release.
Running and Pulling Tools,RB,"1-1/2""",1.43,"15/16"" SR",,1.3,11,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Up to release.
Running and Pulling Tools,RB,"3""",2.74,"1-1/16"" SR",,1.3,20,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Up to release.
Running and Pulling Tools,RB,"3.5""",3.11,"1-1/16"" SR",,1.3,25,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Up to release.
Running and Pulling Tools,RB,"4""",3.67,"1-1/16"" SR",,1.3,30,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Up to release.
Running and Pulling Tools,SS,"2-1/2""",2.18,"15/16"" SR",,1.3,15,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Down to release.
Running and Pulling Tools,SS,"2""",1.77,"15/16"" SR",,1.3,13,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Down to release.
Running and Pulling Tools,SS,"1-1/2""",1.43,"15/16"" SR",,1.3,11,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Down to release.
Running and Pulling Tools,SS,"3""",2.844,"1-1/16"" SR",,1.3,20,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Down to release.
Running and Pulling Tools,SS,"3.5""",3.115,"1-1/16"" SR",,1.3,25,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Down to release.
Running and Pulling Tools,SS,"4""",3.67,"1-1/16"" SR",,1.3,30,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Down to release.
Running and Pulling Tools,RS,"2-1/2""",2.18,"15/16"" SR",,1.3,15,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Up to release.
Running and Pulling Tools,RS,"2""",1.77,"15/16"" SR",,1.3,13,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Up to release.
Running and Pulling Tools,RS,"1-1/2""",1.43,"15/16"" SR",,1.3,11,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Up to release.
Running and Pulling Tools,RS,"3""",2.74,"1-1/16"" SR",,1.3,20,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Up to release.
Running and Pulling Tools,RS,"3.5""",3.11,"1-1/16"" SR",,1.3,25,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Up to release.
Running and Pulling Tools,RS,"4""",3.67,"1-1/16"" SR",,1.3,30,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Otis fishing necks; Jar Up to release.
Running and Pulling Tools,JDC,"3""",2.812,"15/16"" SR","5/8""-11 (For Prong)",1.2,17,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Camco fishing necks; Jar Down to release.
Running and Pulling Tools,JDC,"2-1/2""",2.25,"15/16"" SR","1/2""-13 (For Prong)",1.2,15,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Camco fishing necks; Jar Down to release.
Running and Pulling Tools,JDC,"2""",1.859,"15/16"" SR","1/2""-13 (For Prong)",1.2,13,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Camco fishing necks; Jar Down to release.
Running and Pulling Tools,JDC,"1-1/2""",1.422,"15/16"" SR","1/2""-13 (For Prong)",1.1,11,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Camco fishing necks; Jar Down to release.
Running and Pulling Tools,JDC,"1-1/4""",1.291,"15/16"" SR","1/2""-13 (For Prong)",1.1,11,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Camco fishing necks; Jar Down to release.
Running and Pulling Tools,JUC,"3""",2.796,"15/16"" SR","5/8""-11 (For Prong)",1.2,17,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Camco fishing necks; Jar Up to release.
Running and Pulling Tools,JUC,"2-1/2""",2.25,"15/16"" SR","1/2""-13 (For Prong)",1.2,15,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Camco fishing necks; Jar Up to release.
Running and Pulling Tools,JUC,"2""",1.859,"15/16"" SR","1/2""-13 (For Prong)",1.2,13,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Camco fishing necks; Jar Up to release.
Running and Pulling Tools,JUC,"1-1/2""",1.422,"15/16"" SR","1/2""-13 (For Prong)",1.1,11,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Camco fishing necks; Jar Up to release.
Running and Pulling Tools,JDS,"3""",2.812,"15/16"" SR","5/8""-11 (For Prong)",1.2,17,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Camco fishing necks; Jar Down to release.
Running and Pulling Tools,JDS,"2-1/2""",2.25,"15/16"" SR","1/2""-13 (For Prong)",1.2,15,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Camco fishing necks; Jar Down to release.
Running and Pulling Tools,JDS,"2""",1.859,"15/16"" SR","1/2""-13 (For Prong)",1.2,13,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Camco fishing necks; Jar Down to release.
Running and Pulling Tools,JDS,"1-1/2""",1.422,"15/16"" SR","1/2""-13 (For Prong)",1.1,11,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Camco fishing necks; Jar Down to release.
Running and Pulling Tools,JDS,"1-1/4""",1.291,"15/16"" SR","1/2""-13 (For Prong)",1.1,11,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Camco fishing necks; Jar Down to release.
Running and Pulling Tools,JUS,"3""",2.796,"15/16"" SR","5/8""-11 (For Prong)",1.2,17,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Camco fishing necks; Jar Up to release.
Running and Pulling Tools,JUS,"2-1/2""",2.25,"15/16"" SR","1/2""-13 (For Prong)",1.2,15,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Camco fishing necks; Jar Up to release.
Running and Pulling Tools,JUS,"2""",1.859,"15/16"" SR","1/2""-13 (For Prong)",1.2,13,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Camco fishing necks; Jar Up to release.
Running and Pulling Tools,JUS,"1-1/2""",1.422,"15/16"" SR","1/2""-13 (For Prong)",1.1,11,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto external Camco fishing necks; Jar Up to release.
Running and Pulling Tools,GS,"3""",2.72,"1-1/16"" SR","5/8""-11 (For Prong)",1,10,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto internal fishing necks; Jar Down to release.
Running and Pulling Tools,GS,"2-1/2""",2.25,"15/16"" SR","5/8""-11 (For Prong)",1,8,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto internal fishing necks; Jar Down to release.
Running and Pulling Tools,GS,"2""",1.81,"15/16"" SR","5/8""-11 (For Prong)",1,6,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto internal fishing necks; Jar Down to release.
Running and Pulling Tools,GR,"3""",2.72,"1-1/16"" SR","5/8""-11 (For Prong)",1.5,15,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto internal fishing necks; Jar Up to release.
Running and Pulling Tools,GR,"2-1/2""",2.25,"15/16"" SR","5/8""-11 (For Prong)",1.5,13,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto internal fishing necks; Jar Up to release.
Running and Pulling Tools,GR,"2""",1.81,"15/16"" SR","5/8""-11 (For Prong)",1.5,11,Yes,,Slickline tool used in Running and Pulling Tools operations; Designed to latch onto internal fishing necks; Jar Up to release.
Running and Pulling Tools,Heavy Duty Pulling Tool,"1-1/4""",1.125,"15/16"" SR",,1.1,2,No,,Shear release latching tool with keys/dogs that engage internal fishing necks to pull subsurface devices.
Running and Pulling Tools,Heavy Duty Pulling Tool,"1-1/2""",1.35,"15/16"" SR",,1.1,2,No,,Shear release latching tool with keys/dogs that engage internal fishing necks to pull subsurface devices.
Running and Pulling Tools,Heavy Duty Pulling Tool,"2""",2,"15/16"" SR",,1.3,4,No,,Shear release latching tool with keys/dogs that engage internal fishing necks to pull subsurface devices.
Running and Pulling Tools,Heavy Duty Pulling Tool,"2-1/2""",2.5,"1-1/16"" SR",,1.3,6.5,No,,Shear release latching tool with keys/dogs that engage internal fishing necks to pull subsurface devices.
Running and Pulling Tools,Heavy Duty Pulling Tool,"3""",3.125,"1-1/16"" SR",,1.5,10.5,No,,Shear release latching tool with keys/dogs that engage internal fishing necks to pull subsurface devices.
Running and Pulling Tools,Heavy Duty Pulling Tool,"4""",4,"1-1/16"" SR",,2.3,24,No,,Shear release latching tool with keys/dogs that engage internal fishing necks to pull subsurface devices.
Running and Pulling Tools,Uni Pulling Tool,"1-1/2""",1.5,"15/16"" SR",,1.8,4.4,No,,Shear release latching tool with keys/dogs that engage internal fishing necks to pull subsurface devices.
Running and Pulling Tools,Uni Pulling Tool,"2""",1.78,"15/16"" SR",,1.8,8.8,No,,Shear release latching tool with keys/dogs that engage internal fishing necks to pull subsurface devices.
Running and Pulling Tools,Uni Pulling Tool,"2-1/2""",2.18,"15/16"" SR",,2,11,No,,Shear release latching tool with keys/dogs that engage internal fishing necks to pull subsurface devices.
Running and Pulling Tools,Uni Pulling Tool,"3""",2.72,"1-1/16"" SR",,2,19.8,No,,Shear release latching tool with keys/dogs that engage internal fishing necks to pull subsurface devices.
Running and Pulling Tools,Uni Pulling Tool,"3-1/2""",3.115,"1-1/16"" SR",,2,26.4,No,,Shear release latching tool with keys/dogs that engage internal fishing necks to pull subsurface devices.
Running and Pulling Tools,Uni Pulling Tool,"4""",3.61,"1-1/16"" SR",,2,28.6,No,,Shear release latching tool with keys/dogs that engage internal fishing necks to pull subsurface devices.
Standard Service Tools,42BO,"2.813""",2.718,"1-1/16"" SR","1-1/16"" SR",1,12.6,Yes,,A shifting tool used in jar up motion to close SSDs.
Standard Service Tools,42BO,"2.750""",2.718,"1-1/16"" SR","1-1/16"" SR",1,12.6,Yes,,A shifting tool used in jar up motion to close SSDs.
Standard Service Tools,42BO,"2.313""",2.156,"15/16"" SR","15/16"" SR",1,12.6,Yes,,A shifting tool used in jar up motion to close SSDs.
Standard Service Tools,42BO,"1.875""",1.84,"15/16"" SR","15/16"" SR",1,12.6,Yes,,A shifting tool used in jar up motion to close SSDs.
Standard Service Tools,142BO,"2.813""",2.78,"1-1/16"" SR","1-1/16"" SR",1.5,12.6,Yes,,A shifting tool used in jar down motion to open SSDs.
Standard Service Tools,142BO,"2.750""",2.72,"1-1/16"" SR","1-1/16"" SR",1.5,12.6,Yes,,A shifting tool used in jar down motion to open SSDs.
Standard Service Tools,142BO,"2.313""",2.28,"15/16"" SR","15/16"" SR",1.5,12.6,Yes,,A shifting tool used in jar down motion to open SSDs.
Standard Service Tools,142BO,"1.875""",1.843,"15/16"" SR","15/16"" SR",1.5,12.6,Yes,,A shifting tool used in jar down motion to open SSDs.
Standard Service Tools,Tubing End Locator,"2"" - 3""",1.71,"1.0"" NPT","1.0"" NPT",2,10,Yes,,Used to locate end of tubing.
Standard Service Tools,Tubing End Locator,"3"" - 5""",2.31,"1.062""-10","1.062""-10",2,15,Yes,,Used to locate end of tubing.
Standard Service Tools,X-Check Set Tool,"1.875""",1.75,"15/16"" SR",,1.2,5,No,,Used to verify lock mandrel fully set.
Standard Service Tools,X-Check Set Tool,"2.313""",2.16,"15/16"" SR",,1.2,8,No,,Used to verify lock mandrel fully set.
Standard Service Tools,X-Check Set Tool,"2.750""",2.661,"1-1/16"" SR",,1.2,10,No,,Used to verify lock mandrel fully set.
Standard Service Tools,X-Check Set Tool,"2.813""",2.715,"1-1/16"" SR",,1.2,12,No,,Used to verify lock mandrel fully set.
Standard Service Tools,"X-Over (1-1/16"" SR Pin to 15/16"" SR Box)","1-7/8""",1.875,"1-1/16"" SR","15/16"" SR",0.4,1.5,Yes,,Crossover sub used to adapt between different connection types/sizes in the toolstring.
Standard Service Tools,"X-Over (1-1/16"" SR Box to 1-1/16"" SR Box)","1-1/2""",1.5,"1-1/16"" SR","1-1/16"" SR",0.4,1,Yes,,Crossover sub used to adapt between different connection types/sizes in the toolstring.
Standard Service Tools,"X-Over (15/16"" SR Pin to 1-1/16"" SR Box)","1-7/8""",1.875,"15/16"" SR","1-1/16"" SR",0.4,1.5,Yes,,Crossover sub used to adapt between different connection types/sizes in the toolstring.
Standard Service Tools,"X-Over (15/16"" SR Box to 15/16"" SR Box)","1.200""",1.2,"15/16"" SR","15/16"" SR",0.3,0.5,Yes,,Crossover sub used to adapt between different connection types/sizes in the toolstring.
Standard Service Tools,"X-Over (1-9/16"" SR Pin to 1-1/16"" SR Box)","2-1/2""",2.5,"1-9/16"" SR","1-1/16"" SR",0.4,2,Yes,,Crossover sub used to adapt between different connection types/sizes in the toolstring.
Standard Service Tools,"X-Over (1-1/16"" SR Pin to 1-9/16"" SR Box)","2-1/2""",2.5,"1-1/16"" SR","1-9/16"" SR",0.4,2,Yes,,Crossover sub used to adapt between different connection types/sizes in the toolstring.
Standard Service Tools,"X-Over (15/16"" SR Pin to 5/8"" Box)","1-1/2""",1.875,"15/16"" SR","5/8"" Box",0.4,1.5,Yes,,Crossover sub used to adapt between different connection types/sizes in the toolstring.
Standard Service Tools,QLS,"1-7/8"" Female Box",1.875,"1-1/16"" SR","1-7/8"" QLS, 2-1/2"" QLS",0.5,6,Yes,,To translate between QLS and Sucker Rod connections.
Standard Service Tools,QLS,"1-7/8"" Male Pin",1.875,"1-7/8"" QLS","1-1/16"" SR",0.5,6,Yes,,To translate between QLS and Sucker Rod connections.
Standard Service Tools,QLS,"1-1/2"" Female Box",1.5,"15/16"" SR","1-1/2"" QLS, 1-7/8"" QLS, 2-1/2"" QLS",0.5,4,Yes,,To translate between QLS and Sucker Rod connections.
Standard Service Tools,QLS,"1-1/2"" Male Pin",1.5,"1-1/2"" QLS","15/16"" SR",0.5,4,Yes,,To translate between QLS and Sucker Rod connections.
Standard Service Tools,QLS,"1-1/4"" Female Box",1.25,"15/16"" SR","1-1/4"" QLS",0.5,3,Yes,,To translate between QLS and Sucker Rod connections.
Standard Service Tools,QLS,"1-1/4"" Male Pin",1.25,"1-1/4"" QLS","15/16"" SR",0.5,3,Yes,,To translate between QLS and Sucker Rod connections.
Standard Service Tools,QLS,"2-1/2"" Female Box",2.5,"1-9/16"" SR","2-1/2"" QLS",0.5,8.3,Yes,,To translate between QLS and Sucker Rod connections.
Standard Service Tools,QLS,"2-1/2"" Male Pin",2.5,"2-1/2"" QLS","1-9/16"" SR, 1-1/16"" SR, 15/16"" SR",0.5,8.3,Yes,,To translate between QLS and Sucker Rod connections.
Running and Pulling Tools,X-Line,"2.813""",2.687,Prong,Prong,2.6,20,Yes,,Used to run devices with X/XN Lock Mandrels.
Running and Pulling Tools,X-Line,"2.750""",2.687,Prong,Prong,2.6,20,Yes,,Used to run devices with X/XN Lock Mandrels.
Running and Pulling Tools,X-Line,"2.313""",2.171,Prong,Prong,2.5,18,Yes,,Used to run devices with X/XN Lock Mandrels.
Running and Pulling Tools,X-Line,"1.875""",1.75,Prong,Prong,2.4,15,Yes,,Used to run devices with X/XN Lock Mandrels.
Running and Pulling Tools,JK-1,"1.00""",1.33,GLV,GLV,0.5,1,Yes,,Used to set BK-2 (Top) latch gas lift valves.
Running and Pulling Tools,GA-2,"1.00""",1.187,GLV,GLV,0.4,1,Yes,,Used to set integral (Bottom) latch gas lift valves.
Running and Pulling Tools,D1T Running Tool,"3""",,Prong,Prong,,,Yes,,"Latching device used to run and set subsurface devices with internal fishing necks (e.g., locks, plugs, GLVs); releases by jarring as per tool type."
Running and Pulling Tools,SO Running Tool,TBC,,Prong,Prong,,,No,,"Latching device used to run and set subsurface devices with internal fishing necks (e.g., locks, plugs, GLVs); releases by jarring as per tool type."
Running and Pulling Tools,OK-6 Kickover Tool,"3""",2.5,"15/16"" SR","15/16"" SR",5.8,35.2,Yes,,"Side pocket kickover tool used to install/retrieve 1"" OD devices in mandrels with an orienting sleeve."
Running and Pulling Tools,OK-6 Kickover Tool,"2.5""",2.362,"15/16"" SR","15/16"" SR",5.8,30,Yes,,"Side pocket kickover tool used to install/retrieve 1"" OD devices in mandrels with an orienting sleeve."
Running and Pulling Tools,OK-6 Kickover Tool,"2""",1.75,"15/16"" SR","15/16"" SR",5.8,25,Yes,,"Side pocket kickover tool used to install/retrieve 1"" OD devices in mandrels with an orienting sleeve."
Running and Pulling Tools,OK-5 Kickover Tool,"3""",2.5,"15/16"" SR","15/16"" SR",5.8,35.2,Yes,,"Side pocket kickover tool used to install/retrieve 1"" OD devices in mandrels with an orienting sleeve."
Running and Pulling Tools,OK-5 Kickover Tool,"2.5""",2.062,"15/16"" SR","15/16"" SR",5.8,30,Yes,,"Side pocket kickover tool used to install/retrieve 1"" OD devices in mandrels with an orienting sleeve."
Running and Pulling Tools,OK-5 Kickover Tool,"2""",1.75,"15/16"" SR","15/16"" SR",5.8,25,Yes,,"Side pocket kickover tool used to install/retrieve 1"" OD devices in mandrels with an orienting sleeve."
Running and Pulling Tools,Merla Kickover Tool,"3""",2.73,"1-1/16"" SR","1-1/16"" SR",3.3,26.4,Yes,,"Side pocket kickover tool used to install/retrieve 1"" OD devices in mandrels with an orienting sleeve."
Running and Pulling Tools,Merla Kickover Tool,"2.5""",2.28,"15/16"" SR","15/16"" SR",3.2,23,Yes,,"Side pocket kickover tool used to install/retrieve 1"" OD devices in mandrels with an orienting sleeve."
Running and Pulling Tools,Merla Kickover Tool,"2""",1.855,"15/16"" SR","15/16"" SR",3.2,20,Yes,,"Side pocket kickover tool used to install/retrieve 1"" OD devices in mandrels with an orienting sleeve."
Running and Pulling Tools,Merla Kickover Tool,"4.5""",3.125,"1-1/16"" SR","1-1/16"" SR",3.6,35,Yes,,
Fishing Tools,Wire Finder,"2-3/8"" Tbg.",1.75,"15/16"" SR",,1,33,Yes,,"Conical locator used to find the top of a parted wireline (and possibly ""ball-up"" wire) prior to engaging it with a wire grab or spear."
Fishing Tools,Wire Finder,"2-7/8"" Tbg.",2.195,"15/16"" SR",,1,33,Yes,,"Conical locator used to find the top of a parted wireline (and possibly ""ball-up"" wire) prior to engaging it with a wire grab or spear."
Fishing Tools,Wire Finder,"3-1/2"" Tbg.",2.72,"1-1/16"" SR",,1,33,Yes,,"Conical locator used to find the top of a parted wireline (and possibly ""ball-up"" wire) prior to engaging it with a wire grab or spear."
Fishing Tools,Wire Finder,"4-1/2"" Tbg.",3.6,"1-1/16"" SR",,1,33,Yes,,"Conical locator used to find the top of a parted wireline (and possibly ""ball-up"" wire) prior to engaging it with a wire grab or spear."
Fishing Tools,Wire Finder,"5"" Tbg.",3.8,"1-9/16"" SR",,1,33,Yes,,"Conical locator used to find the top of a parted wireline (and possibly ""ball-up"" wire) prior to engaging it with a wire grab or spear."
Fishing Tools,Wire Finder,"5-1/2"" Tbg.",4.53,"1-9/16"" SR",,1,35,Yes,,"Conical locator used to find the top of a parted wireline (and possibly ""ball-up"" wire) prior to engaging it with a wire grab or spear."
Fishing Tools,Wire Finder,"6"" Tbg.",6,"1-9/16"" SR",,1,40,Yes,,"Conical locator used to find the top of a parted wireline (and possibly ""ball-up"" wire) prior to engaging it with a wire grab or spear."
Standard Service Tools,Wire Scratcher,"3""",1.75,"1-1/16"" SR",,2,20,Yes,,Brush/scraper used to loosen paraffin/scale and confirm wire contact when locating broken wire.
Standard Service Tools,Wire Scratcher,"2.5""",1.375,"15/16"" SR",,2,15,Yes,,Brush/scraper used to loosen paraffin/scale and confirm wire contact when locating broken wire.
Standard Service Tools,Wire Scratcher,"2""",1.187,"15/16"" SR",,2,10,Yes,,Brush/scraper used to loosen paraffin/scale and confirm wire contact when locating broken wire.
Standard Service Tools,Wire Scratcher,"3.5"" OD",3.5,"1-1/16"" SR",,2,32.7,Yes,,Brush/scraper used to loosen paraffin/scale and confirm wire contact when locating broken wire.
Standard Service Tools,Wire Spiral,"3""",1.75,"1-1/16"" SR",,2,20,Yes,,Brush/scraper used to loosen paraffin/scale and confirm wire contact when locating broken wire.
Standard Service Tools,Wire Spiral,"2.5""",1.375,"15/16"" SR",,2,15,Yes,,Brush/scraper used to loosen paraffin/scale and confirm wire contact when locating broken wire.
Standard Service Tools,Wire Spiral,"2""",1.187,"15/16"" SR",,2,10,Yes,,Brush/scraper used to loosen paraffin/scale and confirm wire contact when locating broken wire.
Standard Service Tools,Wire Spiral,"3.5"" OD",3.5,"1-1/16"" SR",,2,32.7,Yes,,Brush/scraper used to loosen paraffin/scale and confirm wire contact when locating broken wire.
Standard Service Tools,Lead Impression Block,"2.00""",2,"15/16"" SR",,0.5,2.5,Yes,,Soft lead-faced tool used to capture an impression of the top of a fish to identify profile and plan fishing.
Standard Service Tools,Lead Impression Block,"2.30""",2.3,"15/16"" SR",,0.5,3.5,Yes,,Soft lead-faced tool used to capture an impression of the top of a fish to identify profile and plan fishing.
Standard Service Tools,Lead Impression Block,"2.52""",2.52,"1-1/16"" SR",,0.6,4.5,Yes,,Soft lead-faced tool used to capture an impression of the top of a fish to identify profile and plan fishing.
